,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
221,222,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",2006-10-02,"On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",6,5,10,Unknown,White American or European American,Male,40.04214385,-76.30100872,2006,10,40,Monday
222,223,Duquesne University,"Pittsburgh, Pennsylvania",2006-09-17,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",0,5,5,Unknown,Black American or African American,Male,40.43948548,-79.97631581,2006,9,37,Sunday
223,224,Orange High School,"Hillsborough, North Carolina",2006-08-30,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",1,2,3,Yes,Some other race,Male,36.04099857,-79.09701201,2006,8,35,Wednesday
224,225,Essex Elementary School,"Essex Junction, Vermont",2006-08-24,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",2,2,4,Yes,Black American or African American,Male,44.49022039,-73.11400628,2006,8,34,Thursday
225,226,Capitol Hill massacre,"Seattle, Washington",2006-03-25,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,No,white,Male,47.6229,-122.3165,2006,3,12,Saturday
226,227,Goleta Post Office,"Goleta, California",2006-01-30,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",8,0,7,Yes,White American or European American,Female,34.43606107,-119.8593619,2006,1,5,Monday
227,228,Red Lake High School,"Red Lake, Minnesota",2005-03-21,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",10,5,14,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009,2005,3,12,Monday
228,229,Living Church of God,"Brookfield, Wisconsin",2005-03-12,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",8,4,11,No,White American or European American,Male,43.06396691,-88.12299758,2005,3,10,Saturday
229,230,Tyler Courthouse,"Tyler, Texas",2005-02-24,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",3,4,6,Unknown,Some other race,Male,32.3154272,-95.30501087,2005,2,8,Thursday
230,231,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",2004-12-08,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",5,7,11,Yes,White American or European American,Male,39.98861445,-82.98904135,2004,12,50,Wednesday
231,232,"Birchwood, Wisconsin","Birchwood, Wisconsin",2004-11-21,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",6,2,8,No,Asian American,Male,45.65773714,-91.55077175,2004,11,47,Sunday
232,233,Windy City Core Supply Warehouse,"Chicago, Illinois",2003-08-27,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",7,0,6,No,Some other race,Male,41.83928045,-87.68818145,2003,8,35,Wednesday
